"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"HNRNPD","HNRNPD","_","bi",0.9,0,3.2,20.7,75.2,218,2,40,1,9,"0.00 (0/9)","chr 4",83273650,83295656,"protein_coding",140363,"distant candidate",-4,"inter clus 4",0.0181818181818182
"PHC3","PHC3","_","bi",0.6,0,4.6,58.3,36.5,326,4,26,2,8,"0.14 (1/7)","chr 3",169804519,169899537,"protein_coding",200091,"distant candidate",-4,"inter clus 4",0.0181818181818182
"ARFGAP2","ARFGAP2","_","bi",0.5,0.5,1.8,26.7,70.5,217,3,72,2,7,"0.00 (0/7)","chr 11",47185847,47198676,"protein_coding",98617,"distant candidate",-21,"inter clus 21",0.0181818181818182
"MTMR3","MTMR3","_","bi",0,0.9,10.6,80.2,8.3,216,4,26,0,8,"0.00 (0/8)","chr 22",30279143,30426855,"protein_coding",170508,"distant candidate",-36,"inter clus 36",0.0181818181818182
"PIGX","PIGX","_","bi",0.9,0.6,3,37.3,58.2,328,3,25,0,7,"0.00 (0/7)","chr 3",196366645,196462878,"protein_coding",120816,"distant candidate",-4,"inter clus 4",0.0181268882175226
"PSAT1","PSAT1","_","bi",1.8,0.4,6.5,47.5,43.8,276,0,29,0,3,"0.00 (0/3)","chr 9",80912058,80945009,"protein_coding",64441,"distant candidate",-18,"inter clus 18",0.0181159420289855
"RP11-566E18.3","RP11-566E18.3","_","bi",1.4,0.9,5.5,41.3,50.9,220,1,23,0,3,"0.00 (0/3)","chr 2",217081767,217084915,"lincRNA",92013,"distant candidate",-4,"inter clus 4",0.0180995475113123
"MSI2","MSI2","_","bi",0,0,2.8,33.1,64.1,217,4,78,6,18,"0.00 (0/18)","chr 17",55333211,55762046,"protein_coding",241631,"distant candidate",-29,"inter clus 29",0.0180995475113123
"RAB6B","RAB6B","_","bi",0.6,0,6.1,17.7,75.6,164,2,104,0,3,"0.00 (0/3)","chr 3",133543082,133614680,"protein_coding",123679,"distant candidate",-4,"inter clus 4",0.0180722891566265
"NEBL","NEBL","_","bi",0.3,0,0.9,15.6,83.2,327,5,102,3,13,"0.00 (0/13)","chr 10",21068901,21463116,"protein_coding",202399,"distant candidate",-18,"inter clus 18",0.0180722891566265
"ARL5B","ARL5B","_","bi",0.7,0.4,0.7,28.5,69.7,274,3,14,0,11,"0.00 (0/11)","chr 10",18948333,18970568,"protein_coding",180295,"distant candidate",-18,"inter clus 18",0.0180505415162455
"PSIP1","PSIP1","_","bi",1.8,0,1.4,24.7,72.1,222,0,103,0,7,"0.00 (0/7)","chr 9",15464063,15511017,"protein_coding",124205,"distant candidate",-18,"inter clus 18",0.0180180180180181
"GABRG1","GABRG1","_","bi",0.9,1.4,7.3,67.7,22.7,220,2,26,5,17,"0.00 (0/17)","chr 4",46037785,46126098,"protein_coding",197494,"distant candidate",-4,"inter clus 4",0.0180180180180181
"BRI3BP","BRI3BP","_","bi",0,0.9,2.3,48.6,48.2,218,4,17,1,7,"0.00 (0/7)","chr 12",125478245,125515777,"protein_coding",160071,"distant candidate",-25,"inter clus 25",0.0180180180180181
"YTHDF1","YTHDF1","_","bi",1.2,1.2,7.2,78.4,12,166,1,11,0,1,"0.00 (0/1)","chr 20",61826780,61847586,"protein_coding",64580,"distant candidate",-35,"inter clus 35",0.0179640718562875
"ZNF252P","ZNF252P","_","bi",0.6,0.6,4.2,32.2,62.4,165,2,33,4,17,"0.06 (1/17)","chr 8",146198974,146228281,"processed_transcript",219195,"distant candidate",-17,"inter clus 17",0.0179640718562875
"AGPAT4","AGPAT4","1 M impr clstr","bi",0.6,0,3.6,60,35.8,165,2,25,2,9,"0.00 (0/9)","chr 6",161551010,161695093,"protein_coding",173514,"nearby candidate",10,"clus 10 (chr 6)",0.0179640718562875
"PGAM5","PGAM5","_","skew.7 novel",0,9.8,20.7,59.1,10.4,164,3,17,1,5,"0.00 (0/5)","chr 12",133287404,133299228,"protein_coding",99112,"distant candidate",-25,"inter clus 25",0.0179640718562875
"WWOX","WWOX","_","bi",0.5,1.4,6.8,79.9,11.4,220,3,24,6,12,"0.00 (0/12)","chr 16",78133309,79246564,"protein_coding",189420,"distant candidate",-29,"inter clus 29",0.0179372197309418
"CTD-2636A23.2","CTD-2636A23.2","_","skew.7 novel",1.4,6.1,36.7,47.5,8.3,278,1,4,1,4,"0.00 (0/3)","chr 5",43287702,43290941,"antisense",77205,"distant candidate",-5,"inter clus 5",0.017921146953405
"PCSK6","PCSK6","_","bi",1.8,0,7.1,84,7.1,56,0,11,2,4,"0.00 (0/4)","chr 15",101840817,102065405,"protein_coding",78128,"distant candidate",-28,"inter clus 28",0.0178571428571429
"PLAT","PLAT","_","bi",1.8,0,7.1,82.2,8.9,56,0,5,2,2,"0.00 (0/2)","chr 8",42032235,42065242,"protein_coding",54367,"distant candidate",-15,"inter clus 15",0.0178571428571429
"ZNF443","ZNF443","_","bi",1.2,1.8,19.8,70,7.2,167,1,4,0,13,"0.00 (0/13)","chr 19",12540520,12551926,"protein_coding",164739,"distant candidate",-31,"inter clus 31",0.0178571428571429
"LEPROT","LEPROT","_","bi",0.6,0,4.2,83.2,12,166,2,13,1,7,"0.00 (0/7)","chr 1",65886269,65901690,"protein_coding",131402,"distant candidate",-1,"inter clus 1",0.0178571428571429
"UBTF","UBTF","_","bi",0.5,0.5,1.4,26.6,71,221,3,22,1,2,"0.00 (0/2)","chr 17",42282400,42298994,"protein_coding",55972,"distant candidate",-29,"inter clus 29",0.0178571428571429
"RP11-809C18.3","RP11-809C18.3","_","bi",0,3.6,10.9,83.7,1.8,55,1,5,0,3,"0.00 (0/3)","chr 10",674577,677195,"antisense",63372,"distant candidate",-18,"inter clus 18",0.0178571428571429
"ZNHIT6","ZNHIT6","_","bi",0,1.8,1.8,92.8,3.6,55,1,11,1,4,"0.00 (0/4)","chr 1",86115105,86174116,"protein_coding",114495,"distant candidate",-2,"inter clus 2",0.0178571428571429
"CACNG8","CACNG8","1 M impr clstr","bi",0,0.9,7,50.6,41.5,330,6,5,1,19,"0.06 (1/17)","chr 19",54466293,54493469,"protein_coding",219025,"nearby candidate",32,"clus 32 (chr 19)",0.0178571428571429
"RIOK2","RIOK2","_","bi",0,0,4.1,78.2,17.7,220,4,13,4,9,"0.00 (0/9)","chr 5",96496570,96518964,"protein_coding",139005,"distant candidate",-5,"inter clus 5",0.0178571428571429
"RYR3","RYR3","_","bi",0.4,2.9,9.4,79,8.3,277,4,8,8,17,"0.00 (0/17)","chr 15",33603162,34158303,"protein_coding",208095,"distant candidate",-28,"inter clus 28",0.0177935943060499
"NME4","NME4","_","bi",1.8,0,8,83.1,7.1,113,0,9,1,3,"0.00 (0/3)","chr 16",446724,460367,"protein_coding",70640,"distant candidate",-28,"inter clus 28",0.0176991150442478
"SCN2A","SCN2A","_","bi",0.9,0,3.3,31.2,64.6,336,3,111,1,15,"0.00 (0/14)","chr 2",166095911,166248818,"protein_coding",177468,"distant candidate",-3,"inter clus 3",0.0176991150442478
"NEAT1","NEAT1","_","bi",1.1,2.8,6.8,41.3,48,281,2,28,3,22,"0.05 (1/22)","chr 11",65190244,65213011,"lincRNA",234505,"distant candidate",-21,"inter clus 21",0.0176678445229682
"RP11-203J24.9","RP11-203J24.9","_","bi",1.8,0.6,2.9,40,54.7,170,0,4,0,1,"0.00 (0/1)","chr 9",130630142,130649066,"processed_transcript",48794,"distant candidate",-18,"inter clus 18",0.0176470588235295
"ITSN1","ITSN1","_","bi",0,1.5,3.6,51.2,43.7,334,6,39,4,24,"0.04 (1/24)","chr 21",35014705,35272165,"protein_coding",393210,"distant candidate",-35,"inter clus 35",0.0176470588235295
"PLCD1","PLCD1","_","bi",1.8,3.5,7,84.2,3.5,57,0,7,2,3,"0.00 (0/3)","chr 3",38048986,38071253,"protein_coding",69176,"distant candidate",-4,"inter clus 4",0.0175438596491229
"EHMT1","EHMT1","_","bi",1.8,3.5,10.5,78.9,5.3,57,0,11,3,5,"0.00 (0/5)","chr 9",140513443,140764468,"protein_coding",82395,"distant candidate",-18,"inter clus 18",0.0175438596491229
"KATNA1","KATNA1","_","bi",1.8,2.6,11.4,80.7,3.5,114,0,8,0,1,"0.00 (0/1)","chr 6",149916008,149970108,"protein_coding",54939,"distant candidate",-9,"inter clus 9",0.0175438596491229
"CARD9","CARD9","_","bi",1.8,1.8,7,63.1,26.3,57,0,2,1,3,"0.00 (0/3)","chr 9",139256354,139268133,"protein_coding",67104,"distant candidate",-18,"inter clus 18",0.0175438596491229
"DNLZ","DNLZ","_","bi",1.8,1.8,7,63.1,26.3,57,0,12,1,3,"0.00 (0/3)","chr 9",139253931,139258241,"protein_coding",61628,"distant candidate",-18,"inter clus 18",0.0175438596491229
"SCAF1","SCAF1","_","bi",1.8,0.9,6.1,86.8,4.4,114,0,11,0,2,"0.00 (0/2)","chr 19",50145381,50161899,"protein_coding",71313,"distant candidate",-31,"inter clus 31",0.0175438596491229
"CDC26","CDC26","_","bi",1.8,0.9,4.4,85,7.9,114,0,11,0,2,"0.00 (0/2)","chr 9",116018114,116037869,"protein_coding",60843,"distant candidate",-18,"inter clus 18",0.0175438596491229
"ACTR10","ACTR10","_","bi",1.8,0.9,2.6,78,16.7,114,0,72,0,1,"0.00 (0/1)","chr 14",58666797,58701750,"protein_coding",62115,"distant candidate",-26,"inter clus 26",0.0175438596491229
"SLC25A4","SLC25A4","_","bi",1.4,0.7,2.8,48.6,46.5,284,1,50,2,5,"0.00 (0/5)","chr 4",186064394,186071536,"protein_coding",88429,"distant candidate",-5,"inter clus 5",0.0175438596491229
"BCL9","BCL9","_","bi",0.9,4.4,10.6,83.2,0.9,113,1,7,5,8,"0.00 (0/8)","chr 1",147013181,147098017,"protein_coding",106377,"distant candidate",-2,"inter clus 2",0.0175438596491229
"PBRM1","PBRM1","_","bi",0.9,1.8,8.8,84.1,4.4,113,1,29,2,7,"0.00 (0/7)","chr 3",52579367,52719933,"protein_coding",116278,"distant candidate",-4,"inter clus 4",0.0175438596491229
"ZKSCAN8","ZKSCAN8","_","bi",0.9,1.8,7.1,82.2,8,113,1,13,4,9,"0.00 (0/9)","chr 6",28109687,28127250,"protein_coding",128153,"distant candidate",-7,"inter clus 7",0.0175438596491229
"IL17RA","IL17RA","_","bi",0.9,1.8,17.7,77.8,1.8,113,1,2,5,22,"0.00 (0/22)","chr 22",17565843,17596583,"protein_coding",222913,"distant candidate",-35,"inter clus 35",0.0175438596491229
"RP13-638C3.4","RP13-638C3.4","_","bi",0.9,0,10.6,81.4,7.1,113,1,1,1,3,"0.00 (0/3)","chr 17",80560864,80562054,"antisense",78079,"distant candidate",-29,"inter clus 29",0.0175438596491229
"MCFD2","MCFD2","_","bi",0.7,0,2.1,26.3,70.9,282,3,55,0,10,"0.00 (0/10)","chr 2",47129008,47168994,"protein_coding",161733,"distant candidate",-2,"inter clus 2",0.0175438596491229
"CBR3","CBR3","_","bi",0,8.9,8.9,82.2,0,56,1,4,3,4,"0.00 (0/4)","chr 21",37507209,37518864,"protein_coding",73794,"distant candidate",-35,"inter clus 35",0.0175438596491229
"EEF2K","EEF2K","_","bi",0,8.9,14.3,73.2,3.6,56,1,8,3,6,"0.00 (0/6)","chr 16",22217602,22298554,"protein_coding",120921,"distant candidate",-29,"inter clus 29",0.0175438596491229
"SAT2","SAT2","_","bi",0,5.4,19.6,75,0,56,1,61,1,4,"0.00 (0/4)","chr 17",7529551,7531194,"protein_coding",80958,"distant candidate",-29,"inter clus 29",0.0175438596491229
"TMEM63A","TMEM63A","_","bi",0,2.7,14.3,78.5,4.5,112,2,31,2,11,"0.09 (1/11)","chr 1",226033236,226070069,"protein_coding",166863,"distant candidate",-2,"inter clus 2",0.0175438596491229
"ABCD4","ABCD4","_","bi",0,0,7.1,87.5,5.4,56,1,13,4,16,"0.00 (0/16)","chr 14",74752125,74769759,"protein_coding",242692,"distant candidate",-26,"inter clus 26",0.0175438596491229
"FOXK2","FOXK2","_","bi",0,0,10.7,82.2,7.1,112,2,17,1,10,"0.00 (0/10)","chr 17",80477588,80602538,"protein_coding",146905,"distant candidate",-29,"inter clus 29",0.0175438596491229
"NAP1L1","NAP1L1","_","bi",0,0,2.4,42.8,54.8,168,3,154,1,4,"0.00 (0/4)","chr 12",76438669,76478813,"protein_coding",114710,"distant candidate",-25,"inter clus 25",0.0175438596491229
"ZNF253","ZNF253","_","bi",1.7,0.9,7.9,74.2,15.3,229,0,9,0,4,"0.00 (0/4)","chr 19",19976694,20005483,"protein_coding",78953,"distant candidate",-31,"inter clus 31",0.017467248908297
"WWTR1","WWTR1","_","bi",1.7,0.6,7.6,74.4,15.7,172,0,6,1,4,"0.00 (0/4)","chr 3",149235021,149454501,"protein_coding",102410,"distant candidate",-4,"inter clus 4",0.0174418604651163
"TRPM7","TRPM7","_","bi",0.6,1.8,6.5,82.3,8.8,170,2,23,3,7,"0.00 (0/7)","chr 15",50844669,50979012,"protein_coding",136792,"distant candidate",-28,"inter clus 28",0.0174418604651163
"VPS8","VPS8","_","bi",0.4,0.4,1.4,22.5,75.3,283,4,64,5,11,"0.00 (0/11)","chr 3",184529930,184770402,"protein_coding",162788,"distant candidate",-4,"inter clus 4",0.0174216027874564
"NAMPT","NAMPT","_","skew.7 novel",1.3,9.2,47.8,38.6,3.1,228,2,49,0,8,"0.12 (1/8)","chr 7",105888730,105926772,"protein_coding",118916,"distant candidate",-13,"inter clus 13",0.0173913043478261
"STK35","STK35","_","bi",0.9,1.8,10.5,85,1.8,114,1,7,4,9,"0.00 (0/9)","chr 20",2082256,2157684,"protein_coding",169784,"distant candidate",-32,"inter clus 32",0.0173913043478261
"DNAAF2","DNAAF2","_","bi",0.9,1.8,8.8,64.8,23.7,114,1,6,0,3,"0.00 (0/3)","chr 14",50091891,50101948,"protein_coding",76643,"distant candidate",-26,"inter clus 26",0.0173913043478261
"ZNF652","ZNF652","_","bi",0,3.5,8.8,82.4,5.3,113,2,16,1,5,"0.20 (1/5)","chr 17",47366567,47439835,"protein_coding",119778,"distant candidate",-29,"inter clus 29",0.0173913043478261
"SNPH","SNPH","_","bi",0.4,0.4,0.4,25.9,72.9,284,4,36,1,6,"0.00 (0/6)","chr 20",1246959,1289972,"protein_coding",136066,"distant candidate",-32,"inter clus 32",0.0173611111111112
"PSD3","PSD3","_","bi",0,0.4,0.7,4.9,94,283,5,156,7,22,"0.00 (0/22)","chr 8",18384810,18942240,"protein_coding",328011,"distant candidate",-15,"inter clus 15",0.0173611111111112
"SLC8A1","SLC8A1","_","bi",0,0.9,3.1,25.8,70.2,453,8,170,11,36,"0.03 (1/36)","chr 2",40324409,40838193,"protein_coding",466227,"distant candidate",-2,"inter clus 2",0.017353579175705
"CLUH","CLUH","_","bi",1.7,1.7,11.6,74,11,173,0,11,0,4,"0.00 (0/4)","chr 17",2592679,2615957,"protein_coding",87508,"distant candidate",-29,"inter clus 29",0.0173410404624278
"SEMA3E","SEMA3E","_","bi",1.2,0.6,9.3,80.2,8.7,172,1,12,1,7,"0.00 (0/7)","chr 7",82993221,83278326,"protein_coding",107881,"distant candidate",-12,"inter clus 12",0.0173410404624278
"ATPAF1","ATPAF1","_","bi",0.9,1.2,2.3,23,72.6,343,3,57,0,4,"0.00 (0/3)","chr 1",47098408,47139539,"protein_coding",106536,"distant candidate",-1,"inter clus 1",0.0173410404624278
"DDR1","DDR1","_","bi",0.6,2.3,3.5,64.9,28.7,171,2,34,4,8,"0.00 (0/8)","chr 6",30844197,30867933,"protein_coding",140617,"distant candidate",-7,"inter clus 7",0.0173410404624278
"BCAT1","BCAT1","_","bi",0.5,2,6.8,30.5,60.2,399,5,17,5,15,"0.07 (1/15)","chr 12",24964294,25102393,"protein_coding",320674,"distant candidate",-25,"inter clus 25",0.0173267326732673
"RPUSD3","RPUSD3","_","bi",1.7,3.4,6.9,81.1,6.9,58,0,16,1,3,"0.00 (0/3)","chr 3",9879532,9886286,"protein_coding",69974,"distant candidate",-4,"inter clus 4",0.0172413793103449
"RPS15A","RPS15A","_","bi",1.7,2.6,7.8,72,15.9,232,0,456,0,4,"0.00 (0/4)","chr 16",18792616,18801705,"protein_coding",90015,"distant candidate",-29,"inter clus 29",0.0172413793103449
"C3orf33","C3orf33","_","bi",1.7,1.7,0,89.7,6.9,58,0,7,3,6,"0.00 (0/6)","chr 3",155480400,155524140,"protein_coding",97518,"distant candidate",-4,"inter clus 4",0.0172413793103449
"GCSH","GCSH","_","bi",1.7,0,3.4,74.2,20.7,58,0,49,0,5,"0.00 (0/5)","chr 16",81115565,81130008,"protein_coding",116135,"distant candidate",-29,"inter clus 29",0.0172413793103449
"ALDH7A1","ALDH7A1","_","bi",1.4,1.7,1.7,28.8,66.4,289,1,33,4,13,"0.08 (1/13)","chr 5",125877532,125931110,"protein_coding",158756,"distant candidate",-6,"inter clus 6",0.0172413793103449
"GNPDA2","GNPDA2","_","bi",1.4,1.4,6.6,67.4,23.2,289,1,31,0,12,"0.00 (0/11)","chr 4",44684216,44728612,"protein_coding",186606,"distant candidate",-4,"inter clus 4",0.0172413793103449
"RSAD1","RSAD1","_","bi",1.3,1.7,8.7,55,33.3,231,1,16,4,6,"0.00 (0/6)","chr 17",48556160,48563336,"protein_coding",94146,"distant candidate",-29,"inter clus 29",0.0172413793103449
"LHFPL3","LHFPL3","_","bi",1.2,0.6,6.9,80.9,10.4,173,1,12,0,4,"0.00 (0/4)","chr 7",103969103,104549001,"protein_coding",72093,"distant candidate",-13,"inter clus 13",0.0172413793103449
"CACNA1C","CACNA1C","_","bi",0.9,5.2,9.6,78.2,6.1,115,1,18,4,9,"0.11 (1/9)","chr 12",2079951,2802108,"protein_coding",145446,"distant candidate",-24,"inter clus 24",0.0172413793103449
"MCEE","MCEE","_","bi",0.9,0.9,4.3,82.6,11.3,115,1,11,0,1,"0.00 (0/1)","chr 2",71336813,71357369,"protein_coding",56597,"distant candidate",-2,"inter clus 2",0.0172413793103449
"PPP2R5C","PPP2R5C","1 M impr clstr","bi",0.9,0.9,2.6,27.8,67.8,115,1,172,2,7,"0.00 (0/7)","chr 14",102228134,102394326,"protein_coding",146435,"nearby candidate",27,"clus 27 (chr 14)",0.0172413793103449
"RIMKLB","RIMKLB","_","bi",0.6,1.2,7,56.9,34.3,172,2,27,0,5,"0.00 (0/5)","chr 12",8834195,8935691,"protein_coding",98938,"distant candidate",-25,"inter clus 25",0.0172413793103449
"KLHDC4","KLHDC4","_","bi",0,1.8,14,82.4,1.8,57,1,10,4,12,"0.00 (0/12)","chr 16",87730090,87799598,"protein_coding",202317,"distant candidate",-29,"inter clus 29",0.0172413793103449
"LRSAM1","LRSAM1","_","bi",0,0,5.3,91.2,3.5,57,1,10,1,1,"0.00 (0/1)","chr 9",130213764,130265780,"protein_coding",62795,"distant candidate",-18,"inter clus 18",0.0172413793103449
"LZTR1","LZTR1","_","bi",0,0,10.5,86,3.5,57,1,21,4,9,"0.00 (0/9)","chr 22",21333750,21353327,"protein_coding",123871,"distant candidate",-36,"inter clus 36",0.0172413793103449
"PLA2G16","PLA2G16","_","bi",1.7,0.9,6.9,62.6,27.9,233,0,51,0,3,"0.00 (0/3)","chr 11",63340666,63384355,"protein_coding",73395,"distant candidate",-21,"inter clus 21",0.0171673819742489
"PTOV1","PTOV1","_","bi",1.3,0.9,3,37.5,57.3,232,1,46,1,3,"0.00 (0/3)","chr 19",50353991,50364001,"protein_coding",84484,"distant candidate",-31,"inter clus 31",0.0171673819742489
"ANO5","ANO5","_","bi",0.4,0.4,0.4,26.6,72.2,230,3,24,0,7,"0.00 (0/7)","chr 11",22214721,22304903,"protein_coding",180116,"distant candidate",-20,"inter clus 20",0.0171673819742489
"TRIP12","TRIP12","_","bi",1.1,0,4.6,69.6,24.7,174,1,106,0,7,"0.00 (0/7)","chr 2",230628553,230787955,"protein_coding",112076,"distant candidate",-4,"inter clus 4",0.0171428571428571
"INPP5E","INPP5E","_","bi",0.6,1.7,7.5,82.7,7.5,173,2,4,4,10,"0.00 (0/10)","chr 9",139323070,139334274,"protein_coding",110973,"distant candidate",-18,"inter clus 18",0.0171428571428571
"CCDC6","CCDC6","_","bi",0.3,0.7,5.2,30.6,63.2,288,4,31,2,5,"0.00 (0/5)","chr 10",61548520,61666414,"protein_coding",115177,"distant candidate",-18,"inter clus 18",0.0171232876712328
"SFR1","SFR1","_","bi",1.7,0,9.4,76.9,12,117,0,7,1,4,"0.00 (0/4)","chr 10",105881815,105886143,"protein_coding",70261,"distant candidate",-18,"inter clus 18",0.0170940170940171
"RSPH1","RSPH1","_","bi",0.9,2.6,13.8,77.5,5.2,116,1,2,0,3,"0.00 (0/3)","chr 21",43892595,43916464,"protein_coding",82156,"distant candidate",-35,"inter clus 35",0.0170940170940171
"ZNF518B","ZNF518B","_","bi",0.6,0.9,7.8,71.7,19,347,4,18,4,18,"0.00 (0/18)","chr 4",10441497,10459034,"protein_coding",229656,"distant candidate",-4,"inter clus 4",0.0170940170940171
"C14orf132","C14orf132","_","bi",0.7,0.5,1.2,9.9,87.7,406,4,50,5,24,"0.04 (1/24)","chr 14",96505660,96560417,"protein_coding",325975,"distant candidate",-26,"inter clus 26",0.0170731707317073
"DNAJC10","DNAJC10","_","bi",0,1.2,9.8,75.1,13.9,173,3,42,4,19,"0.00 (0/19)","chr 2",183580998,183659191,"protein_coding",252724,"distant candidate",-3,"inter clus 3",0.0170454545454546
"PPP3CA","PPP3CA","_","bi",0,0,0,1.2,98.8,173,3,253,0,1,"0.00 (0/1)","chr 4",101944565,102269435,"protein_coding",82409,"distant candidate",-5,"inter clus 5",0.0170454545454546
"AP1B1","AP1B1","_","bi",1.3,0,2.1,50.9,45.7,234,1,25,1,3,"0.00 (0/3)","chr 22",29723668,29819168,"protein_coding",87034,"distant candidate",-36,"inter clus 36",0.0170212765957447
"GNB5","GNB5","_","bi",1.3,0,0,33.7,65,234,1,54,0,4,"0.00 (0/4)","chr 15",52413116,52483566,"protein_coding",85677,"distant candidate",-28,"inter clus 28",0.0170212765957447
"SYNJ2","SYNJ2","_","bi",1,0,1,35.3,62.7,292,2,20,9,17,"0.00 (0/17)","chr 6",158402887,158520208,"protein_coding",193742,"distant candidate",-9,"inter clus 9",0.0170068027210885
"JAG2","JAG2","_","bi",1.7,8.5,10.2,77.9,1.7,59,0,5,1,4,"0.25 (1/4)","chr 14",105607317,105635161,"protein_coding",84295,"distant candidate",-27,"inter clus 27",0.0169491525423728
"CTC-428G20.3","CTC-428G20.3","_","bi",1.7,1.7,11.9,84.7,0,59,0,5,0,1,"0.00 (0/1)","chr 5",114539712,114541943,"lincRNA",49290,"distant candidate",-6,"inter clus 6",0.0169491525423728
"RPS6KB2","RPS6KB2","_","bi",1.7,1.7,16.9,76.3,3.4,59,0,9,0,1,"0.00 (0/1)","chr 11",67195930,67202872,"protein_coding",96503,"distant candidate",-21,"inter clus 21",0.0169491525423728
"PSAP","PSAP","_","bi",1.7,0,0,0.8,97.5,118,0,310,0,1,"0.00 (0/1)","chr 10",73576054,73611126,"protein_coding",50661,"distant candidate",-18,"inter clus 18",0.0169491525423728
"TAOK2","TAOK2","_","bi",1.3,1.3,1.3,57.4,38.7,235,1,22,2,4,"0.00 (0/4)","chr 16",29984961,30003582,"protein_coding",76419,"distant candidate",-29,"inter clus 29",0.0169491525423728
"RASD1","RASD1","_","bi",1.1,0,3.4,25,70.5,176,1,40,0,5,"0.20 (1/5)","chr 17",17397750,17399709,"protein_coding",81299,"distant candidate",-29,"inter clus 29",0.0169491525423728
"RP11-485G4.2","RP11-485G4.2","_","bi",0.9,5.1,14.5,77.8,1.7,117,1,4,0,15,"0.00 (0/15)","chr 3",141876368,141880820,"lincRNA",179518,"distant candidate",-4,"inter clus 4",0.0169491525423728
"BANP","BANP","_","bi",0.9,1.7,13.7,77.7,6,117,1,9,2,6,"0.00 (0/5)","chr 16",87982849,88110924,"protein_coding",92553,"distant candidate",-29,"inter clus 29",0.0169491525423728
"CENPO","CENPO","_","bi",0.9,0,2.6,64.9,31.6,117,1,4,2,9,"0.00 (0/9)","chr 2",25016004,25045245,"protein_coding",125101,"distant candidate",-2,"inter clus 2",0.0169491525423728
"DNAJC25-GNG10","DNAJC25-GNG10","_","bi",0.4,0,0,9.5,90.1,233,3,2,0,2,"0.00 (0/2)","chr 9",114393665,114432509,"protein_coding",69474,"distant candidate",-18,"inter clus 18",0.0169491525423728
"GNG10","GNG10","_","bi",0.4,0,0,9.5,90.1,233,3,46,0,2,"0.00 (0/2)","chr 9",114423614,114432526,"protein_coding",70021,"distant candidate",-18,"inter clus 18",0.0169491525423728
"DKK3","DKK3","_","skew.7 novel",0,6.9,32.8,58.6,1.7,58,1,355,2,4,"0.00 (0/4)","chr 11",11984652,12031316,"protein_coding",79426,"distant candidate",-20,"inter clus 20",0.0169491525423728
"RP11-67L2.2","RP11-67L2.2","_","bi",0,3.4,17.2,79.4,0,58,1,4,2,12,"0.00 (0/12)","chr 3",122605787,122611243,"lincRNA",170794,"distant candidate",-4,"inter clus 4",0.0169491525423728
"TCF12","TCF12","_","bi",0,3.4,22.4,74.2,0,58,1,50,2,7,"0.00 (0/6)","chr 15",57210820,57591479,"protein_coding",144065,"distant candidate",-28,"inter clus 28",0.0169491525423728
"RP11-421E14.2","RP11-421E14.2","_","bi",0,0,6.9,84.5,8.6,58,1,3,0,2,"0.00 (0/2)","chr 17",49326939,49329109,"sense_intronic",61912,"distant candidate",-29,"inter clus 29",0.0169491525423728
"PRDM15","PRDM15","_","bi",0,0,19,79.3,1.7,58,1,3,6,8,"0.00 (0/8)","chr 21",43218384,43299591,"protein_coding",167867,"distant candidate",-35,"inter clus 35",0.0169491525423728
"ADCY3","ADCY3","_","bi",0,0,2.6,65.5,31.9,116,2,16,2,7,"0.00 (0/7)","chr 2",25042037,25142708,"protein_coding",110078,"distant candidate",-2,"inter clus 2",0.0169491525423728
"STAMBPL1","STAMBPL1","_","bi",0,0,3.4,51.8,44.8,58,1,32,2,8,"0.00 (0/8)","chr 10",90639490,90734910,"protein_coding",117055,"distant candidate",-18,"inter clus 18",0.0169491525423728
"NDUFS1","NDUFS1","1 M impr clstr","bi",0,3.4,8.3,33.6,54.7,349,6,112,2,20,"0.05 (1/20)","chr 2",206979540,207024327,"protein_coding",272897,"nearby candidate",4,"clus 4 (chr 2)",0.0169014084507042
"FAM212B","FAM212B","_","bi",0,1.1,3.2,37.5,58.2,349,6,12,1,19,"0.05 (1/19)","chr 1",112223251,112298446,"protein_coding",233361,"distant candidate",-2,"inter clus 2",0.0169014084507042
"OSBPL6","OSBPL6","_","bi",0.3,0.7,3.8,61,34.2,292,4,15,3,13,"0.00 (0/13)","chr 2",179059207,179264160,"protein_coding",184916,"distant candidate",-3,"inter clus 3",0.0168918918918919
"FAM107B","FAM107B","_","bi",0.3,0.3,2.1,28.8,68.5,292,4,50,0,7,"0.14 (1/7)","chr 10",14560555,14816896,"protein_coding",107798,"distant candidate",-18,"inter clus 18",0.0168918918918919
"FANCA","FANCA","_","bi",0.9,2.1,5.1,80.8,11.1,235,2,4,4,10,"0.00 (0/10)","chr 16",89803956,89883065,"protein_coding",141571,"distant candidate",-29,"inter clus 29",0.0168776371308017
"ZNF276","ZNF276","_","bi",0.4,2.1,5.1,81.3,11.1,234,3,9,5,12,"0.00 (0/12)","chr 16",89786807,89807311,"protein_coding",178044,"distant candidate",-29,"inter clus 29",0.0168776371308017
"MMP16","MMP16","_","bi",0.4,0,2.1,36.8,60.7,234,3,26,2,7,"0.00 (0/7)","chr 8",89044236,89340254,"protein_coding",102263,"distant candidate",-15,"inter clus 15",0.0168776371308017
